Time,cpu_util_percent,mem_util_percent,net_in,net_out,disk_usage_percent_read,disk_usage_percent_write
92640,8.25,18,3656910138,3397256870,0,109226.6667
92700,5.2,18,3658753824,3399533707,0,74240
92760,7,18,3660614048,3401803584,0,109909.3333
92820,6.25,18,3662461321,3404047882,0,147763.2
92880,6.4,18,3664250795,3406220395,0,56661.33333
92940,6,18,3666067859,3408381639,0,111206.4
93000,7.2,18,3667869508,3410483865,0,63658.66667
93060,6.75,18,3669717042,3412743445,0,119910.4
93120,6.4,18,3671580729,3414997743,0,108851.2
93180,7,18,3673401972,3417199829,0,177920
93240,6.2,18,3675220536,3419385703,0,62156.8
93300,7.8,18,3677096481,3421652255,0,120661.3333
93360,7,18,3678930038,3423892187,0,79974.4
93420,7.8,18,3680748594,3426046464,0,92416
93480,7.8,18,3682616616,3428291115,0,80384
93540,5,18,3684408869,3430438517,0,101717.3333
93600,6.75,18,3686265995,3432631181,0,76697.6
93660,7.4,18,3688175759,3434931556,0,116565.3333
93720,5.8,18,3690035129,3437188704,0,97996.8
93780,4.4,18,3691849056,3439369423,0,64000
93840,8.25,18,3693714031,3441601134,0,73642.66667
93900,4.25,18,3695571579,3443856243,0,147251.2
93960,6,18,3697428185,3446050652,0,128085.3333
94020,8,18,3699283434,3448248274,0,69632
94080,7.2,18,3701077807,3450451590,0,69205.33333
94140,6.8,18,3702848816,3452530624,0,74137.6
94200,5.5,18,3704682858,3454672195,0,78336
94260,7.6,18,3706539195,3456924496,0,75673.6
94320,7,18,3708406901,3459190939,0,88405.33333
94380,9.6,18,3710277892,3461410908,0,75468.8
94440,6.25,18,3712103634,3463608027,0,70041.6
94500,8.4,18,3713964291,3465834833,0,75008
94560,6,18,3715813274,3467984088,0,77414.4
94620,8.4,18,3717641723,3470165570,0,110506.6667
94680,6.75,18,3719417333,3472276372,0,80793.6
94740,6.8,18,3721213227,3474448513,0,119808
94800,5.6,18,3723047089,3476667351,0,123904
94860,8.6,18,3724909655,3478896738,0,128426.6667
94920,5.6,18,3726792332,3481145187,0,71168
94980,9,18,3728602140,3483270926,0,109653.3333
95040,5.4,18,3730396676,3485417220,0,73420.8
95100,5.6,18,3732272654,3487647870,0,184934.4
95160,5.5,18,3734092230,3489886151,0,112042.6667
95220,8.2,18,3735929969,3492148837,0,144384
95280,7,18,3737707211,3494284810,0,67584
95340,5.4,18,3739438202,3496298283,0,72396.8
95400,6.5,18,3741275102,3498466499,0,58709.33333
95460,4.4,18,3743169501,3500728055,0,83968
95520,7.2,18,3744967864,3502899586,0,79616
95580,5.2,18,3746791026,3505063357,0,115609.6
95640,5.4,18,3748625771,3507229846,0,119296
95700,6.5,18,3750513391,3509507989,0,85299.2
95760,6.6,18,3752316573,3511617772,0,80076.8
95820,7.8,18,3754165209,3513766437,0,67328
95880,5.4,18,3755941561,3515908369,0,132812.8
95940,6.8,18,3757701082,3518049416,0,104789.3333
96000,6.25,18,3759603894,3520317680,0,104960
96060,7.6,18,3761453137,3522552964,0,68010.66667
96120,7.6,18,3763282906,3524720942,0,79360
96180,6,18,3765076695,3526782468,0,116053.3333
96240,5,18,3766823723,3528777928,0,129433.6
96300,6.2,18,3768662915,3530989950,0,81408
96360,8.25,18,3770508332,3533199698,0,120832
96420,8.2,18,3772332144,3535350993,0,82739.2
96480,6.6,18,3774108349,3537460965,0,100266.6667
96540,6.2,18,3775947599,3539664094,0,83046.4
96600,7,18,3777791441,3541911793,0,102400
96660,6.8,18,3779598044,3543999170,0,93081.6
96720,6.2,18,3781506657,3546243909,0,80810.66667
96780,4.8,18,3783302930,3548451512,0,89702.4
96840,14.2,18,3785110056,3550589041,0,91221.33333
96900,7,18,3786998781,3552894862,0,86937.6
96960,5.4,18,3788849616,3555189344,0,81920
97020,7,18,3790702938,3557422449,0,75468.8
97080,6.2,18,3792518140,3559606723,0,76595.2
97140,7.5,18,3794332230,3561804622,0,69546.66667
97200,8.6,18,3796215577,3564101619,0,85504
97260,5.6,18,3798125982,3566382291,0,116309.3333
97320,6.6,18,3799979982,3568654012,0,72089.6
97380,6,18,3801785099,3570796155,0,69973.33333
97440,5.4,18,3803578509,3572872995,0,83456
97500,9.4,18,3805400158,3574992158,0,60074.66667
97560,5,18,3807237395,3577231813,0,86425.6
97620,7,18,3809135508,3579514125,0,68403.2
97680,7.4,18,3810905985,3581668741,0,132693.3333
97740,6,18,3812681965,3583829189,0,57446.4
97800,9.25,18,3814580197,3586135250,0,72960
97860,6.2,18,3816427126,3588415023,0,79872
97920,7.2,18,3818276473,3590618927,0,72789.33333
97980,5.2,18,3820108484,3592844278,0,70860.8
98040,4.75,18,3821921182,3595054937,0,62976
98100,6.4,18,3823803463,3597361376,0,184729.6
98160,5.6,18,3825671866,3599672536,0,102997.3333
98220,7.4,18,3827499649,3601838594,0,76697.6
98280,4.75,18,3829289008,3604026083,0,109056
98340,8,18,3831093090,3606189667,0,101120
98400,9.4,18,3832923168,3608391274,0,138137.6
98460,5.2,18,3834784197,3610664708,0,133717.3333
98520,7.4,18,3836659268,3612947868,0,83148.8
98580,8.75,18,3838411803,3615027384,0,84480
98640,9.4,18,3840162553,3617088481,0,96358.4
98700,8,18,3842035196,3619353313,0,71082.66667
98760,7.2,18,3843857542,3621567656,0,78131.2
98820,14.75,18,3845687959,3623778704,0,65877.33333
98880,6.6,18,3847518920,3625953653,0,83456
98940,5.8,18,3849308583,3628050648,0,75571.2
99000,5,18,3851140036,3630252334,0,130560
99060,10.5,18,3853032722,3632557466,0,73523.2
99120,7.2,18,3854879729,3634806120,0,83029.33333
99180,8.8,18,3856692946,3636976830,0,63692.8
99240,9,18,3858531493,3639162669,0,80128
99300,7,18,3860388052,3641367916,0,69836.8
99360,5.5,18,3862212593,3643537663,0,73642.66667
99420,6.4,18,3864065321,3645702800,0,111104
99480,7.8,18,3865854327,3647898176,0,75178.66667
99540,5.2,18,3867634962,3650050476,0,58163.2
99600,8.75,18,3869521580,3652323861,0,116121.6
99660,7,18,3871383655,3654564421,0,107264
