Time,cpu_util_percent,mem_util_percent,net_in,net_out,disk_usage_percent
1603826880,16.8226767,87.22447196,1147455.5,52534576,0.001666556
1603826940,16.99923859,87.22759806,2262384.5,59721205,0
1603827000,17.9508974,87.22812009,63121587.5,83381744.5,0
1603827060,17.86244072,87.22884535,62972015,144488529.5,0
1603827120,17.36982217,87.22989752,40271646.5,89227536.5,0.003334445
1603827180,17.08713668,87.23053916,112028352.5,82502565,0
1603827240,17.25222687,87.23123047,2545745.5,106180232.5,0.001667139
1603827300,17.70456495,87.2321387,4938498.5,114170504,0.001666528
1603827360,17.06113503,87.2272742,1961142,58376011.5,0.001666833
1603827420,16.62207283,87.23284167,1095803,58623867,0.004999583
1603827480,16.78652294,87.23075811,1156153,41546389.5,0.00166675
1603827540,16.86128232,87.23075507,2293679,54085287.5,0.001666611
1603827600,17.30743592,87.23277984,1308361,55855217,0
1603827660,17.38502926,87.23274132,1661486.5,61558429.5,0.001666778
1603827720,17.50509883,87.23393844,3152441.5,63045247,0
1603827780,17.02251467,87.23138911,1023182,62003548.5,0.001666583
1603827840,17.21903655,87.23035012,2957152.5,62343144.5,0.001666889
1603827900,17.91660964,87.23879129,11819849.5,61644251,0
1603827960,17.57305526,87.23759417,1669517.5,78665479.5,0.003334
1603828020,16.82637529,87.23926618,1658654.5,51380870.5,0
1603828080,17.1756474,87.24158288,1100459.5,54301469,0.003333
1603828140,16.96131915,87.24456605,1750217.5,54935185.5,0.001666528
1603828200,17.70026246,87.24473736,3683765,53754158,0.001666917
1603828260,17.12388585,87.24751222,2425215,68512416.5,0
1603828320,17.01929182,87.24843059,1077703,55149930.5,0
1603828380,17.12244252,87.24507136,2102242.5,54390665.5,0.005000083
1603828440,17.12355405,87.24107352,2334968.5,60410752,0.00166675
1603828500,17.05536734,87.24211352,8534225.5,60333767.5,0
1603828560,17.22310836,87.23397138,2069270,62561031.5,0
1603828620,17.32004425,87.23566975,1556937.5,60217533,0.001666556
1603828680,17.37564042,87.23899351,1265177.5,72837034.5,0.003333333
1603828740,17.44746639,87.23881511,1685106,97475691.5,0.003333111
1603828800,17.34078277,87.24005379,24874613,70616810.5,0.003333722
1603828860,17.66475507,87.23964275,28987531,76193049,0.001666833
1603828920,17.59876477,87.24259501,7823079.5,72285158.5,0.003333333
1603828980,16.94404906,87.2434784,22139931,68165381,0.001666333
1603829040,16.84855213,87.24335119,1402160,55480713.5,0.001666806
1603829100,17.37892005,87.24579003,1714679.5,67381199,0.001666861
1603829160,17.38257311,87.24451993,3467760.5,67484176.5,0.003333056
1603829220,17.28732307,87.24478297,2158590.5,62914153,0
1603829280,17.13220061,87.24447837,1414987,49197982.5,0.001666278
1603829340,16.72207747,87.24331521,1036338.5,57869694.5,0
1603829400,17.06028075,87.24525989,1031729,59482213.5,0
1603829460,17.19674873,87.24487623,18306646,52180227,0.001666944
1603829520,17.04600715,87.24630801,1638128.5,75181941.5,0.004999333
1603829580,17.25603863,87.24963278,1829385.5,61080486,0
1603829640,17.18976838,87.24906514,1583488.5,56252910,0.001666833
1603829700,17.13575551,87.25094748,1923378,64737885,0
1603829760,17.00629724,87.25515768,1028017,63722170.5,0.001666667
1603829820,17.06798615,87.2590729,1964753.5,54469251.5,0
1603829880,17.0450225,87.25932023,1492918.5,59632783.5,0.003333333
1603829940,18.1031048,87.26009567,2185399,83186331,0.001666806
1603830000,18.33655715,87.23786887,2493488,103513330,0
1603830060,17.34195574,87.22897155,44400838,106815437.5,0.001666639
1603830120,17.75055147,87.23129484,2450744,114949411.5,0
1603830180,16.7730427,87.22634721,1957514.5,76206895.5,0.00166675
1603830240,17.12869102,87.22166871,1187427.5,60297125.5,0.001666583
1603830300,16.89305401,87.22211827,775972,50875287.5,0
1603830360,17.07830333,87.2210737,1144395,57578857,0
1603830420,17.18394639,87.22372794,1764916.5,51927910.5,0.003333889
1603830480,17.08332017,87.22454089,1326459.5,55824263,0.003332278
1603830540,17.01084604,87.22397983,1910862,54494111,0.001667083
1603830600,17.31159488,87.2251212,21308039,59395117.5,0.001666583
1603830660,17.43250542,87.22531025,25945146.5,59091519,0.001666583
1603830720,17.26154681,87.22666449,4399964,62139472.5,0.003333945
1603830780,18.54337362,87.22826301,38105704.5,52161069,0.003333444
1603830840,17.96090568,87.22703295,3565985.5,55535102,0
1603830900,18.50585454,87.23144081,4817327.5,66434682.5,0.001666917
1603830960,18.03175575,87.22970341,5499806,64588485,0.003333278
1603831020,17.5377032,87.22967959,1692601,56044319.5,0.001666722
1603831080,17.97863169,87.22946267,2809991.5,52196953.5,0.003333222
1603831140,17.6355406,87.23046871,8546995.5,51422652.5,0.001666611
1603831200,18.24433577,87.23171297,17040582.5,85996575,0
1603831260,18.46726309,87.22862387,2196601,69285596.5,0.001666694
1603831320,18.14257247,87.21992169,2454434.5,59454410,0.006666556
1603831380,18.47673757,87.20973451,2661320.5,79074399,0.001666694
1603831440,17.79063012,87.2106027,1749545,88673755.5,0
1603831500,17.56743649,87.21368977,2718862.5,64219249.5,0.001666639
1603831560,17.41655392,87.21861915,1273820.5,55433640,0.0050005
1603831620,17.98206415,87.219202,23633170,54073899,0
1603831680,17.15995171,87.22058613,4334407.5,72470251.5,0.005000333
1603831740,17.27239837,87.22056181,1090219.5,55087860,0.003333611
1603831800,17.36807107,87.22092672,1122812,47540337,0.0016665
1603831860,17.77095786,87.21892223,3561317.5,48403931.5,0.001666333
1603831920,17.75031415,87.22384806,2280660,56684937.5,0.001667083
1603831980,17.57483038,87.22013101,1639280.5,49039627.5,0.003333167
1603832040,17.75353475,87.21239382,3362990,52497032,0.003333611
1603832100,17.30377755,87.21265737,1731665,46508988.5,0.003333556
1603832160,17.42337602,87.20990074,2107565,50947484,0.001666583
1603832220,17.87241625,87.21045673,2084175.5,64527707.5,0.003333556
1603832280,17.38591346,87.20913189,1080216,66236916,0.0033325
1603832340,17.57023219,87.20791298,1077765.5,57727583.5,0
1603832400,17.54008162,87.20898947,25453366.5,58088161.5,0
1603832460,18.07790877,87.20987743,27527618.5,61359622.5,0.003334167
1603832520,18.17847899,87.21273187,7301926.5,60350128.5,0.003333722
1603832580,17.5392204,87.2148134,15886349,57489308.5,0.003332833
1603832640,17.72106358,87.21579056,12608085,61112999.5,0.001666806
1603832700,17.87199921,87.21636479,3048816,63473954,0.001666833
1603832760,17.65740785,87.21608553,2857241.5,56932778,0.003333167
1603832820,17.42471659,87.21743166,2535828,52109475,0.003333556
1603832880,17.41960769,87.21735766,2080093,50038469,0.003333056
1603832940,17.36478003,87.21607641,1543983,49411658.5,0.001666333
